BUKRS,BELNR,SAP_VENDOR_ID,WRBTR,MWSKZ,BLDAT,ZFBDT,ZLSCH,AUGDT,PAYMENT_STATUS_RAW,WAERS
NXS,SAP-2026-00001,SAP_V002,42838.23,TX0,20260125,20260206,T,20260226,PAID,EUR
NXS,SAP-2026-00002,SAP_V001,43390.94,TX10,20260117,20260203,T,20260109,BLOCKED,EUR
NXS,SAP-2026-00003,SAP_V005,19316.25,TX0,20260301,20260121,T,20260117,PENDING,EUR
NXS,SAP-2026-00004,SAP_V004,22943.81,TX5,20260220,20260301,T,20260108,PAID,EUR
NXS,SAP-2026-00005,SAP_V004,41788.47,TX20,20260220,20260117,T,20260226,PAID,EUR
NXS,SAP-2026-00006,SAP_V003,8551.38,TX5,20260130,20260114,T,20260107,PAID,EUR
NXS,SAP-2026-00007,SAP_V002,18085.9,TX10,20260119,20260212,T,20260217,PAID,EUR
NXS,SAP-2026-00008,SAP_V009,33673.67,TX0,20260128,20260215,T,20260205,BLOCKED,EUR
NXS,SAP-2026-00009,SAP_V002,35240.11,TX20,20260214,20260121,T,20260110,PAID,EUR
NXS,SAP-2026-00010,SAP_V010,34335.61,TX10,20260216,20260116,T,20260118,BLOCKED,EUR
NXS,SAP-2026-00011,SAP_V007,4034.42,TX0,20260220,20260117,T,20260119,BLOCKED,EUR
NXS,SAP-2026-00012,SAP_V001,31931.43,TX20,20260205,20260126,T,20260208,PENDING,EUR
NXS,SAP-2026-00013,SAP_V001,26939.92,TX20,20260212,20260109,T,20260114,PAID,EUR
NXS,SAP-2026-00014,SAP_V002,12618.14,TX0,20260215,20260212,T,20260215,CANCELLED,EUR
NXS,SAP-2026-00015,SAP_V004,23381.88,TX20,20260201,20260211,T,20260122,PAID,EUR
NXS,SAP-2026-00016,SAP_V004,13862.42,TX10,20260110,20260120,T,20260114,CANCELLED,EUR
NXS,SAP-2026-00017,SAP_V009,46306.86,TX0,20260113,20260130,T,20260213,PAID,EUR
NXS,SAP-2026-00018,SAP_V010,34564.02,TX5,20260119,20260121,T,20260210,PAID,EUR
NXS,SAP-2026-00019,SAP_V001,11370.95,TX10,20260114,20260301,T,20260224,CANCELLED,EUR
NXS,SAP-2026-00020,SAP_V009,16552.0,TX10,20260104,20260218,T,20260117,PENDING,EUR
NXS,SAP-2026-00021,SAP_V004,38531.52,TX0,20260207,20260301,T,20260202,PAID,EUR
NXS,SAP-2026-00022,SAP_V009,3268.93,TX0,20260217,20260105,T,20260201,PAID,EUR
NXS,SAP-2026-00023,SAP_V007,41179.23,TX20,20260204,20260101,T,20260117,PAID,EUR
NXS,SAP-2026-00024,SAP_V004,40349.77,TX10,20260104,20260130,T,20260227,PENDING,EUR
NXS,SAP-2026-00025,SAP_V008,20357.66,TX20,20260217,20260209,T,20260228,CANCELLED,EUR
NXS,SAP-2026-00026,SAP_V010,3776.34,TX10,20260121,20260206,T,20260224,PAID,EUR
NXS,SAP-2026-00027,SAP_V005,45700.24,TX10,20260104,20260107,T,20260104,CANCELLED,EUR
NXS,SAP-2026-00028,SAP_V001,28575.41,TX5,20260104,20260105,T,20260106,PAID,EUR
NXS,SAP-2026-00029,SAP_V003,36036.76,TX10,20260207,20260204,T,20260210,PAID,EUR
NXS,SAP-2026-00030,SAP_V007,11025.01,TX20,20260131,20260114,T,20260128,PAID,EUR
